Inf,0.0094439,0.015127,0.025498,0.0034153,0.019207,0.047927,0.055226,0.015477,0.0090654,0.014498,0.030168,0.022846,0.0014124,0.0096184,0.014566,0.013645
0.0094439,Inf,0.11188,0.15797,0.12119,0.13955,0.1523,0.10976,0.085032,0.043988,0.05724,0.18281,0.18576,0.025691,0.082372,0.13584,0.17535
0.015127,0.11188,Inf,0.25964,0.040599,0.19308,0.29014,0.15228,0.30427,0.050446,0.075633,0.11879,0.11651,0.03243,0.16169,0.11124,0.066555
0.025498,0.15797,0.25964,Inf,0.051679,0.14599,0.3811,0.20029,0.17419,0.070172,0.07272,0.21316,0.16981,0.025213,0.089264,0.12338,0.099471
0.0034153,0.12119,0.040599,0.051679,Inf,0.24846,0.10139,0.11733,0.075765,0.037746,0.12773,0.25352,0.30064,0.093323,0.068628,0.20958,0.30525
0.019207,0.13955,0.19308,0.14599,0.24846,Inf,0.33773,0.28045,0.18465,0.12168,0.22881,0.43292,0.35564,0.061713,0.14853,0.23374,0.27949
0.047927,0.1523,0.29014,0.3811,0.10139,0.33773,Inf,0.4098,0.2284,0.12035,0.15188,0.35685,0.26785,0.062942,0.11129,0.19219,0.12305
0.055226,0.10976,0.15228,0.20029,0.11733,0.28045,0.4098,Inf,0.17913,0.08781,0.20253,0.36359,0.37122,0.049863,0.12404,0.27917,0.2013
0.015477,0.085032,0.30427,0.17419,0.075765,0.18465,0.2284,0.17913,Inf,0.16245,0.11096,0.16526,0.1619,0.028681,0.15647,0.15589,0.11191
0.0090654,0.043988,0.050446,0.070172,0.037746,0.12168,0.12035,0.08781,0.16245,Inf,0.065609,0.11603,0.093635,0.013257,0.034387,0.10268,0.057762
0.014498,0.05724,0.075633,0.07272,0.12773,0.22881,0.15188,0.20253,0.11096,0.065609,Inf,0.16539,0.15694,0.020128,0.24427,0.14985,0.096139
0.030168,0.18281,0.11879,0.21316,0.25352,0.43292,0.35685,0.36359,0.16526,0.11603,0.16539,Inf,0.55464,0.089808,0.10943,0.25457,0.38691
0.022846,0.18576,0.11651,0.16981,0.30064,0.35564,0.26785,0.37122,0.1619,0.093635,0.15694,0.55464,Inf,0.097316,0.11269,0.47613,0.64463
0.0014124,0.025691,0.03243,0.025213,0.093323,0.061713,0.062942,0.049863,0.028681,0.013257,0.020128,0.089808,0.097316,Inf,0.016886,0.074196,0.107
0.0096184,0.082372,0.16169,0.089264,0.068628,0.14853,0.11129,0.12404,0.15647,0.034387,0.24427,0.10943,0.11269,0.016886,Inf,0.11209,0.081766
0.014566,0.13584,0.11124,0.12338,0.20958,0.23374,0.19219,0.27917,0.15589,0.10268,0.14985,0.25457,0.47613,0.074196,0.11209,Inf,0.45882
0.013645,0.17535,0.066555,0.099471,0.30525,0.27949,0.12305,0.2013,0.11191,0.057762,0.096139,0.38691,0.64463,0.107,0.081766,0.45882,Inf
